Número Licitação;Código UG;Valor Licitação
52013;152143;1434.88
52013;158143;1331336.8
52013;158501;13748.28
52014;152139;2150.0
52014;152140;20000.0
52014;152142;770.0
52014;152143;56466.58
52014;158143;50933.130000000005
52014;158501;1950.0
52015;152142;1788.0
52015;152143;1881.0
52015;158143;13851.34
52015;158501;149977.82
52016;152139;4940.0
52016;152140;375524.14
52016;152142;6600.0
52016;152143;6220.0
52016;152146;5699.0
52016;152147;0.0
52016;158143;525494.36
52016;158501;6475.0
52017;152142;3000.0
52017;152143;1800.0
52017;152145;10000.0
52017;152147;0.0
52017;158143;14968.44
52017;158501;13197.5
52018;152139;10499.48
52018;152141;2090.0
52018;152146;799.0
52018;152147;795.0
52018;158143;267501.72
52018;158501;368757.48
52019;152139;1232.77
52019;152140;521.5
52019;152143;8486.0
52019;152144;1946.03
52019;152146;940.0
52019;158143;17600.0
52019;158501;11891.89
52020;152139;0.0
52020;152140;41757.78
52020;152142;23000.0
52020;152143;5590.0
52020;158143;8102282.01
52020;158501;3800.0
52021;158143;563000.0
52022;158143;1651.08
62013;152139;995.99
62013;152140;1127.9299999999998
62013;152142;40.0
62013;158143;87494.2
62013;158501;1392.0
62014;152139;1169.01
62014;152140;1120.0
62014;152142;6820.0
62014;152143;16808.4
62014;158143;184630.99
62014;158501;22402.760000000002
62015;152143;1514.31
62015;158143;21076.4
62015;158501;19782.86
62016;152139;24305.41
62016;152140;0.0
62016;152143;7788.0
62016;152147;127923.95
62016;158143;29848.8
62016;158501;8270.8
62017;152143;4988.77
62017;152147;129.75
62017;158143;1050.0
62017;158501;5987.92
62018;152140;0.0
62018;152141;3420.0
62018;152146;4114.44
62018;152147;124.39
62018;158143;2762013.75
62018;158501;3893.8
62019;152143;1519.46
62019;152146;2579.95
62019;158143;17600.0
62019;158501;125690.4
62020;152142;33000.0
62020;152143;15093.6
62020;158143;890980.36
62020;158501;48200.0
62021;158143;87698.6
62022;158143;2000.0
72013;152140;795.0
72013;152142;2523.96
72013;158143;44286.36
72013;158501;3280.0
72014;152139;219.96
72014;152140;1595.0
72014;152141;5853.0
72014;152143;8091.5
72014;158143;675327.0
72015;158143;3255.0
72015;158501;7000.0
72016;152139;22596.17
72016;152140;6450.0
72016;152143;1970.0
72016;152147;27400.0
72016;158143;1760.0
72016;158501;36236.75
72017;152147;151.68
72017;158501;287.4
72018;152139;44416.19
72018;152140;0.0
72018;152141;4666.5
72018;152143;17376.42
72018;152146;0.0
72018;158143;2000.0
72018;158501;7000.0
72019;152143;2996.45
72019;152146;7500.0
72019;158143;510000.0
72019;158501;23513.960000000003
72020;152142;31455.12
72020;152143;1420.0
72020;158143;49818.5
72020;158501;108699.15
72021;158143;44576.24
72022;158143;27000.0
82013;152140;3192.36
82013;152142;334710.48
82013;158143;85167.24
82013;158501;2044.8
82014;152139;0.0
82014;152141;3901.5
82014;152143;5099.0
82014;158143;179456.35
82014;158501;750.0
82015;158143;1980.0
82016;152139;16944.02
82016;152147;385.0
82016;158143;1007399.62
82016;158501;1017676.56
82017;158143;41666.0
82017;158501;5857.47
82018;152140;36227.0
82018;152143;4468.25
82018;152146;5021.1
82018;158143;13160.0
82018;158501;26753.2
82019;152146;8700.0
82019;158143;2000.0
82019;158501;130937.64
82020;152142;41038.74
82020;158143;49212.9
82020;158501;160.6
82021;158143;37148.19
92013;152140;121434.34000000001
92013;152142;540.0
92013;158143;57376.2
92013;158501;7155.13
92014;152141;1832.9
92014;152143;16000.0
92014;158143;37917.0
92014;158501;81478.28
92015;158143;82937.2
92016;152139;0.0
92016;152147;919.62
92016;158143;6715.12
92016;158501;75453.47
92017;158143;1323373.69
92017;158501;23742.0
92018;152143;3806.0
92018;152146;0.0
92018;158143;19282.27
92018;158501;0.0
92019;152143;5300.0
92019;152146;12350.0
92019;158501;2078.0
92020;152142;345.75
92020;152143;850.0
92020;158143;1257482.13
92020;158501;8884.92
92021;158143;479420.0
102013;152140;5731.2
102013;152142;270.0
102013;158143;2903.23
102013;158501;3150.0
102014;152143;6745.0
102014;158143;19625.0
102014;158501;128548.4
102015;158143;1980.0
102015;158501;13896.0
102016;152139;211613.62
102016;158143;2474203.35
102016;158501;5784.0
102017;158143;0.0
102017;158501;78713.91
102018;158501;26.94
102019;152143;822.0
102019;152146;16850.0
102019;158501;905.0
102020;158143;112255.2
102021;158143;11690273.43
112013;152140;300.0
112013;152142;1100.0
112013;158143;4311.719999999999
112013;158501;7431.02
112014;152143;2342.0
112014;158143;31231.98
112014;158501;18797.9
112015;158143;1600.0
112015;158501;1100.0
112016;152139;129421.85
112016;158143;1000.0
112016;158501;66953.69
112017;158143;2136.0
112017;158501;4770.0
112018;152143;5614.67
112018;158501;309.0
112019;158501;0.0
112020;158143;1123947.6199999999
112020;158501;1819.3
112021;158143;17971.0
112022;158143;6477.4
122013;152142;1120.0
122013;158143;45043.0
122013;158501;6015.0
122014;152143;2250.0
122014;158143;71163.79000000001
122014;158501;3380.0
122015;158143;1000.0
122015;158501;8000.0
122016;158143;6600.0
122016;158501;1895.78
122017;158501;78763.0
122018;152143;3240.67
122019;158501;395.76
122020;158143;893429.27
122020;158501;9900.0
122021;158143;23095.0
122022;158143;130020.0
132013;152142;970.0
132013;158143;242325.0
132013;158501;4400.21
132014;152143;1515.0
132014;158143;18172.0
132014;158501;30158.0
132015;158143;180.0
132016;158143;43962.6
132017;158501;26510.09
132018;152143;17556.42
132020;158143;100187.58
132021;158143;62825.0
132022;158143;800000.0
142013;152142;1300.0
142013;158143;33579.65
142013;158501;12888.6
142014;152143;8190.0
142014;158143;157290.0
142014;158501;3879.0
142015;158143;850.0
142016;158143;1756.8
142016;158501;1478.76
142018;152143;16800.0
142020;158143;121615.2
142020;158501;60000.0
142021;158143;351540.0
142022;158143;800000.0
152013;152142;7500.0
152013;158143;5375.0
152014;152143;2240.0
152014;158143;60202.32
152014;158501;798.0
152015;158143;445864.48
152016;158143;10579.5
152016;158501;199.99
152018;152143;14500.0
152020;158501;21964.0
152021;158143;1526763.07
162013;152142;3600.0
162013;158143;7518.0
162013;158501;825.0
162014;152143;1120.0
162014;158143;175350.0
162014;158501;12000.0
162015;158143;62219.15
162016;158143;27000.0
162016;158501;337.9
162018;152143;6384.08
162020;158501;742.0
162021;158143;53871.69
162022;158143;400.0
172013;152142;4200.0
172013;158143;10060.0
172013;158501;5450.0
172014;152143;4480.0
172014;158143;109263.55
172014;158501;165612.3
172015;158143;67568.2
172018;152143;699968.93
172020;158501;1947.0
172021;158143;502041.05
172022;158143;109.43
182013;158143;31710.0
182013;158501;1399.0
182014;152143;4500.0
182014;158143;42599.65
182015;158143;37870.0
182018;152143;99957.67
182021;158143;400000.0
182022;158143;390699.72
192013;158143;106035.0
192014;152143;2240.0
192014;158143;129029.69
192015;158143;40000.0
192021;158143;297000.0
202013;158143;31567.0
202014;152143;760.0
202014;158143;17975.0
202015;158143;1980.0
202021;158143;17600.0
212013;158143;798635.08
212014;152143;512.0
212014;158143;201250.0
212015;158143;54150.84
212021;158143;540.0
212022;158143;130.28
222013;158143;143644.4
222014;152143;3980.0
222015;158143;14254.56
222021;158143;535522.8
222022;158143;5559.47
232013;158143;53193.04
232014;152143;3564.0
232015;158143;42339.86
232021;158143;452637.7
232022;158143;0.0
242013;158143;43323.04
242014;152143;7190.0
242014;158143;273689.28
242015;158143;679795.17
252013;158143;18152.0
252014;158143;520086.0
252015;158143;198517.8
252022;158143;174900.0
262013;158143;1618507.05
262015;158143;198517.8
262022;158143;617.56
272013;158143;1618167.05
272015;158143;24100.0
282013;158143;16068.0
282015;158143;7575.0
282022;158143;0.0
292013;158143;7148.0
292015;158143;54150.56
302013;158143;322600.0
302015;158143;54150.56
302022;158143;70760.0
312013;158143;2259.16
322013;158143;15778.060000000001
332013;158143;16703.64
332022;158143;41172.5
342013;158143;23986.34
342022;158143;0.0
352013;158143;45469.5
362013;158143;1804.6
372013;158143;36549.0
382013;158143;15770.4
392013;158143;233821.2
402013;158143;1000.0
412013;158143;20500.0
422013;158143;26000.9
432013;158143;37300.0
442013;158143;146400.0
452013;158143;1042.8
462013;158143;19200.0
472013;158143;281000.0
482013;158143;28900.0
492013;158143;33000.0
502013;158143;23750.0
512013;158143;23600.0
522013;158143;8800.0
582013;158143;7530.0
592013;158143;0.0
662013;158143;2299.8
672013;158143;12417.96
682013;158143;37500.0
692013;158143;39600.0
742013;158143;2349.9
752013;158143;12297345.15
772013;158143;3000.0
792013;158143;299.25
802013;158143;21420.0
812013;158143;5433.15
822013;158143;844.58
852013;158143;80892.0
862013;158143;24266.44
872013;158143;100000.0
882013;158143;0.0
942014;152141;48000.0
